rounds;hashValues;maxHashValues;leafValues;maxLeafValues
684;2;5;1;2
685;0;5;2;2
686;1;5;1;2
687;0;5;2;2
688;4;5;1;2
689;0;5;2;2
690;1;5;1;2
691;0;5;2;2
692;2;5;1;2
693;0;5;2;2
694;1;5;1;2
695;0;5;2;2
696;3;5;1;2
697;0;5;2;2
698;1;5;1;2
699;0;5;2;2
700;2;5;1;2
701;0;5;2;2
702;1;5;1;2
703;0;5;2;2
704;5;5;1;2
705;0;5;1;2
706;0;5;1;2
707;0;5;2;2
708;1;5;1;2
709;0;5;2;2
710;1;5;1;2
711;0;5;2;2
712;2;5;1;2
713;0;5;2;2
714;1;5;1;2
715;0;5;2;2
716;2;5;1;2
717;0;5;2;2
718;1;5;1;2
719;0;5;2;2
720;3;5;1;2
721;0;5;2;2
722;1;5;1;2
723;0;5;2;2
724;2;5;1;2
725;0;5;2;2
726;1;5;1;2
727;0;5;2;2
728;3;5;1;2
729;0;5;2;2
730;1;5;1;2
731;0;5;2;2
732;2;5;1;2
733;0;5;2;2
734;1;5;1;2
735;0;5;2;2
736;4;5;1;2
737;0;5;2;2
738;1;5;1;2
739;0;5;2;2
740;2;5;1;2
741;0;5;2;2
742;1;5;1;2
743;0;5;2;2
744;3;5;1;2
745;0;5;2;2
746;1;5;1;2
747;0;5;2;2
748;2;5;1;2
749;0;5;2;2
750;1;5;1;2
751;0;5;2;2
752;4;5;1;2
753;0;5;2;2
754;1;5;1;2
755;0;5;2;2
756;2;5;1;2
757;0;5;2;2
758;1;5;1;2
759;0;5;2;2
760;3;5;1;2
761;0;5;2;2
762;1;5;1;2
763;0;5;2;2
764;2;5;1;2
765;0;5;2;2
766;1;5;1;2
767;0;5;2;2
768;5;5;1;2
769;0;5;1;2
770;0;5;1;2
771;0;5;2;2
772;1;5;1;2
773;0;5;2;2
774;1;5;1;2
775;0;5;2;2
776;2;5;1;2
777;0;5;2;2
778;1;5;1;2
779;0;5;2;2
780;2;5;1;2
781;0;5;2;2
782;1;5;1;2
783;0;5;2;2
784;3;5;1;2
785;0;5;2;2
786;1;5;1;2
787;0;5;2;2
788;2;5;1;2
789;0;5;2;2
790;1;5;1;2
791;0;5;2;2
792;3;5;1;2
793;0;5;2;2
794;1;5;1;2
795;0;5;2;2
796;2;5;1;2
797;0;5;2;2
798;1;5;1;2
799;0;5;2;2
800;4;5;1;2
801;0;5;2;2
802;1;5;1;2
803;0;5;2;2
804;2;5;1;2
805;0;5;2;2
806;1;5;1;2
807;0;5;2;2
808;3;5;1;2
809;0;5;2;2
810;1;5;1;2
811;0;5;2;2
812;2;5;1;2
813;0;5;2;2
814;1;5;1;2
815;0;5;2;2
816;4;5;1;2
817;0;5;2;2
818;1;5;1;2
819;0;5;2;2
820;2;5;1;2
821;0;5;2;2
822;1;5;1;2
823;0;5;2;2
824;3;5;1;2
825;0;5;2;2
826;1;5;1;2
827;0;5;2;2
828;2;5;1;2
829;0;5;2;2
830;1;5;1;2
831;0;5;2;2
832;5;5;1;2
833;0;5;1;2
834;0;5;1;2
835;0;5;2;2
836;1;5;1;2
837;0;5;2;2
838;1;5;1;2
839;0;5;2;2
840;2;5;1;2
841;0;5;2;2
842;1;5;1;2
843;0;5;2;2
844;2;5;1;2
845;0;5;2;2
846;1;5;1;2
847;0;5;2;2
848;3;5;1;2
849;0;5;2;2
850;1;5;1;2
851;0;5;2;2
852;2;5;1;2
853;0;5;2;2
854;1;5;1;2
855;0;5;2;2
856;3;5;1;2
857;0;5;2;2
858;1;5;1;2
859;0;5;2;2
860;2;5;1;2
861;0;5;2;2
862;1;5;1;2
863;0;5;2;2
864;4;5;1;2
865;0;5;2;2
866;1;5;1;2
867;0;5;2;2
868;2;5;1;2
869;0;5;2;2
870;1;5;1;2
871;0;5;2;2
872;3;5;1;2
873;0;5;2;2
874;1;5;1;2
875;0;5;2;2
876;2;5;1;2
877;0;5;2;2
878;1;5;1;2
879;0;5;2;2
880;4;5;1;2
881;0;5;2;2
882;1;5;1;2
883;0;5;2;2
884;2;5;1;2
885;0;5;2;2
886;1;5;1;2
887;0;5;2;2
888;3;5;1;2
889;0;5;2;2
890;1;5;1;2
891;0;5;2;2
892;2;5;1;2
893;0;5;2;2
894;1;5;1;2
895;0;5;2;2
896;5;5;1;2
897;0;5;1;2
898;0;5;1;2
899;0;5;2;2
900;1;5;1;2
901;0;5;2;2
902;1;5;1;2
903;0;5;2;2
904;2;5;1;2
905;0;5;2;2
906;1;5;1;2
907;0;5;2;2
908;2;5;1;2
909;0;5;2;2
910;1;5;1;2
911;0;5;2;2
912;3;5;1;2
913;0;5;2;2
914;1;5;1;2
915;0;5;2;2
916;2;5;1;2
917;0;5;2;2
918;1;5;1;2
919;0;5;2;2
920;3;5;1;2
921;0;5;2;2
922;1;5;1;2
923;0;5;2;2
924;2;5;1;2
925;0;5;2;2
926;1;5;1;2
927;0;5;2;2
928;4;5;1;2
929;0;5;2;2
930;1;5;1;2
931;0;5;2;2
932;2;5;1;2
933;0;5;2;2
934;1;5;1;2
935;0;5;2;2
936;3;5;1;2
937;0;5;2;2
938;1;5;1;2
939;0;5;2;2
940;2;5;1;2
941;0;5;2;2
942;1;5;1;2
943;0;5;2;2
944;4;5;1;2
945;0;5;2;2
946;1;5;1;2
947;0;5;2;2
948;2;5;1;2
949;0;5;2;2
950;1;5;1;2
951;0;5;2;2
952;3;5;1;2
953;0;5;2;2
954;1;5;1;2
955;0;5;2;2
956;2;5;1;2
957;0;5;2;2
958;1;5;1;2
959;0;5;2;2
960;5;5;1;2
961;0;5;1;2
962;0;5;1;2
963;0;5;2;2
964;1;5;1;2
965;0;5;2;2
966;1;5;1;2
967;0;5;2;2
968;2;5;1;2
969;0;5;2;2
970;1;5;1;2
971;0;5;2;2
972;2;5;1;2
973;0;5;2;2
974;1;5;1;2
975;0;5;2;2
976;3;5;1;2
977;0;5;2;2
978;1;5;1;2
979;0;5;2;2
980;2;5;1;2
981;0;5;2;2
982;1;5;1;2
983;0;5;2;2
984;3;5;1;2
985;0;5;2;2
986;1;5;1;2
987;0;5;2;2
988;2;5;1;2
989;0;5;2;2
990;1;5;1;2
991;0;5;2;2
992;4;5;1;2
993;0;5;2;2
994;1;5;1;2
995;0;5;2;2
996;2;5;1;2
997;0;5;2;2
998;1;5;1;2
999;0;5;2;2
1000;3;5;1;2
1001;0;5;2;2
1002;1;5;1;2
1003;0;5;2;2
1004;2;5;1;2
1005;0;5;2;2
1006;1;5;1;2
1007;0;5;2;2
1008;4;5;1;2
1009;0;5;2;2
1010;1;5;1;2
1011;0;5;2;2
1012;2;5;1;2
1013;0;5;2;2
1014;1;5;1;2
1015;0;5;2;2
1016;3;5;1;2
1017;0;5;2;2
1018;1;5;1;2
1019;0;5;2;2
1020;2;5;1;2
1021;0;5;2;2
1022;1;5;1;2
1023;0;5;2;2
1024;5;5;1;2
1025;0;5;1;2
1026;0;5;1;2
1027;0;5;2;2
1028;1;5;1;2
1029;0;5;2;2
1030;1;5;1;2
1031;0;5;2;2
1032;2;5;1;2
1033;0;5;2;2
1034;1;5;1;2
1035;0;5;2;2
1036;2;5;1;2
1037;0;5;2;2
1038;1;5;1;2
1039;0;5;2;2
1040;3;5;1;2
1041;0;5;2;2
1042;1;5;1;2
1043;0;5;2;2
1044;2;5;1;2
1045;0;5;2;2
1046;1;5;1;2
1047;0;5;2;2
1048;3;5;1;2
1049;0;5;2;2
1050;1;5;1;2
1051;0;5;2;2
1052;2;5;1;2
1053;0;5;2;2
1054;1;5;1;2
1055;0;5;2;2
1056;4;5;1;2
1057;0;5;2;2
1058;1;5;1;2
1059;0;5;2;2
1060;2;5;1;2
1061;0;5;2;2
1062;1;5;1;2
1063;0;5;2;2
1064;3;5;1;2
1065;0;5;2;2
1066;1;5;1;2
